Conference	2008	2009	2010	2011	2012
0	112	0	0	0	0
1	141	153	69	86	135
2	130	94	0	117	129
3	189	0	186	0	323
4	107	59	56	106	136
5	202	123	89	135	222
6	128	101	112	185	93
7	99	71	51	113	111
8	105	85	124	69	130
9	32	41	142	33	25
10	94	36	46	55	68
11	72	0	109	0	53
12	114	72	0	0	0
13	216	111	135	128	232
14	85	66	111	105	79
15	140	0	193	0	0
16	138	220	0	0	0
17	173	0	0	0	0
18	115	94	73	112	107
19	58	77	114	72	92
20	64	90	105	239	235
21	264	0	318	0	384
22	144	221	244	113	141
23	37	29	48	41	48
24	151	97	0	0	0
25	163	193	438	159	60
26	37	37	55	38	77
27	9	18	29	33	25
28	313	57	0	56	0
29	95	126	122	86	84
30	77	140	85	164	92
31	211	170	327	169	129
32	132	212	109	215	140
33	66	67	76	81	103
34	147	0	0	0	0
35	139	598	0	0	0
36	66	67	146	121	113
37	125	0	104	0	158
38	90	111	178	139	137
39	107	0	52	0	69
40	84	88	78	142	128
41	81	39	60	68	67
42	96	0	80	0	0
43	41	35	29	38	39
44	35	46	85	82	83
45	78	0	17	50	69
46	184	0	65	0	152
47	100	0	0	0	0
48	34	20	27	47	40
49	126	105	151	215	252
50	430	0	0	0	0
51	103	36	39	117	51
52	124	120	108	148	0
53	170	161	135	185	84
54	63	0	69	60	78
55	108	145	138	125	147
56	240	0	0	0	0
57	54	86	75	99	88
58	81	67	47	74	91
59	53	37	34	16	132
60	94	97	106	52	50
61	95	145	106	115	247
62	18	49	78	48	52
63	43	0	78	0	92
64	76	148	129	25	43
65	13	29	14	10	15
66	117	91	0	0	0
67	65	102	20	71	254
68	42	26	29	70	19
69	51	66	63	65	64
70	167	138	202	200	172
71	84	82	53	0	53
72	66	54	69	0	89
73	40	15	28	38	0
74	18	45	29	24	49
75	74	0	87	150	125
76	28	28	26	33	37
77	65	136	160	240	157
78	300	0	272	0	370
79	297	0	0	0	0
80	98	138	0	0	0
81	128	0	0	0	0
82	73	67	105	84	139
83	89	84	212	94	112
84	166	146	184	0	0
85	42	102	131	228	217
86	22	14	86	32	24
87	73	0	51	0	82
88	115	115	0	0	0
89	74	74	75	41	0
90	16	8	5	27	115
91	96	44	0	0	0
92	85	58	24	47	41
93	469	0	0	0	0
94	91	101	82	71	74
95	94	81	83	136	162
96	170	159	130	121	123
97	37	52	53	69	81
98	122	52	104	115	116
99	67	69	82	86	112
100	72	121	120	136	98
101	488	0	0	0	0
102	111	0	0	0	0
103	37	26	26	30	32
104	290	0	0	0	0
105	34	26	47	50	0
106	51	109	230	116	95
107	62	44	55	18	95
108	59	90	78	56	84
109	198	0	270	0	246
110	110	136	111	149	196
111	257	0	484	0	0
112	74	0	0	0	88
113	97	61	79	74	58
114	122	0	0	0	0
115	243	0	0	0	0
116	91	55	44	56	87
117	110	109	204	210	226
118	92	125	149	261	0
119	38	23	80	116	66
120	79	68	44	43	57
121	81	94	133	109	99
122	81	71	116	74	72
123	63	54	44	60	143
124	149	46	0	0	0
125	75	68	47	0	0
126	270	264	397	0	0
127	160	171	154	0	0
128	53	59	38	68	38
129	84	98	198	149	124
130	174	104	137	145	0
131	296	347	0	0	0
132	63	176	70	108	96
133	19	29	42	26	7
134	350	596	0	0	0
135	80	113	82	84	89
136	65	71	0	0	0
137	34	52	84	161	230
138	92	86	72	78	80
139	32	77	7	8	41
140	95	58	81	100	44
141	410	0	0	0	0
142	29	24	64	77	41
143	130	105	116	197	139
144	194	60	61	0	24
145	191	0	0	78	105
146	91	91	237	141	146
147	82	93	44	53	19
148	83	93	108	90	130
149	66	46	80	66	93
150	140	199	132	119	0
151	35	81	43	62	68
152	104	73	96	92	182
153	138	142	155	0	0
154	167	116	133	170	101
155	245	0	201	0	215
156	55	0	36	33	0
157	49	55	42	49	91
158	76	85	99	47	117
159	62	61	37	71	52
160	178	208	289	210	0
161	67	97	42	91	139
162	42	70	27	38	103
163	115	118	111	96	108
164	6	15	25	10	16
165	20	23	14	15	4
166	78	100	148	127	153
167	55	65	23	126	132
168	38	33	109	66	130
169	130	0	0	0	0
170	360	0	217	0	288
171	120	104	147	113	210
172	61	96	85	62	46
173	75	0	43	0	0
174	34	20	42	40	41
175	37	236	143	140	125
176	21	21	6	27	12
177	85	49	54	79	121
178	89	113	139	143	49
179	74	129	106	79	53
180	147	92	172	105	161
181	251	220	171	0	0
182	129	134	199	121	109
183	511	0	0	0	0
184	46	56	57	66	116
185	152	113	226	229	248
186	95	76	85	65	119
187	48	0	144	0	0
188	63	40	51	38	22
189	152	0	0	171	0
190	307	68	26	57	104
191	133	236	290	92	136
192	72	38	69	68	96
193	113	97	32	56	171
194	215	0	363	594	0
195	113	90	70	75	122
196	137	117	221	0	0
197	73	0	0	0	49
198	95	112	70	0	0
199	41	26	31	79	65
200	16	25	46	30	38
201	75	146	9	71	0
202	72	146	39	153	90
203	84	46	0	0	0
204	40	0	0	69	0
205	16	18	15	111	89
206	114	0	0	0	0
207	488	374	0	0	0
208	354	0	0	0	0
209	156	289	79	85	0
210	359	0	0	0	0
211	100	112	71	0	81
212	28	57	44	26	75
213	141	76	119	71	66
214	136	46	53	48	58
215	27	52	52	49	41
216	77	0	0	0	333
217	48	37	66	23	37
218	30	35	54	50	63
219	52	0	104	92	0
220	68	144	135	212	200
221	77	60	49	67	60
222	84	99	72	136	91
223	414	0	0	0	0
224	26	10	20	22	43
225	59	66	67	91	0
226	52	44	31	18	32
227	143	53	100	257	77
228	534	366	0	0	0
229	51	31	45	28	45
230	33	22	40	49	53
231	421	0	0	0	0
232	22	30	24	41	20
233	92	156	118	130	128
234	405	0	0	0	0
235	54	37	98	51	51
236	171	172	169	162	158
237	182	111	0	0	0
238	27	47	69	196	109
239	205	0	296	0	182
240	101	87	63	99	83
241	63	34	54	59	172
242	114	0	0	0	0
243	92	106	74	69	17
244	84	77	100	110	85
245	398	563	0	0	0
246	51	41	34	21	25
247	188	107	74	0	0
248	86	203	136	180	140
249	66	29	25	35	0
250	22	48	59	0	28
251	54	39	77	58	74
252	522	0	0	0	0
253	290	0	218	0	224
254	221	120	180	173	142
255	192	163	176	187	81
256	166	236	0	0	395
257	33	178	114	81	133
258	244	286	0	0	0
259	50	104	102	113	86
260	24	74	53	94	52
261	471	0	0	0	0
262	47	108	84	97	69
263	184	163	88	0	0
264	141	150	184	86	122
265	122	160	120	220	136
266	103	39	0	0	0
267	77	75	0	0	0
268	246	0	230	0	0
269	149	52	36	106	154
270	90	129	114	75	0
271	128	252	185	130	99
272	140	89	189	197	302
273	49	159	102	104	141
274	30	23	44	40	53
275	169	81	165	177	0
276	58	66	77	56	39
277	16	18	46	70	56
278	76	0	0	0	112
279	55	34	23	159	192
280	18	21	16	26	5
281	60	73	28	54	53
282	35	47	42	30	57
283	64	91	73	69	0
284	82	95	61	109	138
285	13	0	0	0	116
286	191	205	141	195	231
287	69	0	65	61	23
288	47	40	72	91	89
289	33	62	89	120	39
290	451	264	0	0	0
291	45	48	53	47	51
292	100	63	75	122	88
293	72	121	133	140	164
294	192	52	179	122	41
295	206	0	0	0	0
296	187	0	65	249	167
